SrNo,District_Name,Taluka_Name,Taluka_Latitude,Taluka_Longitude,Month,Year,Soil_Type,Soil_pH,Soil_EC,Organic_Carbon,Nitrogen,Phosphorus,Potassium,Soil_Moisture,Soil_Depth_Class,Avg_Temperature,Min_Temperature,Max_Temperature,Rainfall_mm,Humidity_percent,Wind_Speed_kmph,Solar_Radiation,Evapotranspiration,Cloud_Cover_percent,Crop_Recommended,Crop_Suitability,Crop_Yield_Quintal_per_Hectare
40,ANAND,Anklav,22.3775417,73.0021216,1,2023,Black Cotton,8.01,3.47,0.99,245.3,58.0,89.5,22.6,Medium,13.7,9.8,20.2,7.8,33.7,10.0,839.2,4.89,52.8,Wheat,Yes,22.05
41,ANAND,Khambhat,22.3166806,72.6243126,11,2015,Black Cotton,8.31,2.23,1.57,232.1,53.8,319.0,37.6,Medium,12.8,9.9,16.7,6.8,49.1,7.9,1036.8,2.44,12.6,Wheat,No,22.43626080334007
42,RAJKOT,Jasdan,22.0399,71.2046,7,2015,Silty,7.23,3.77,0.82,460.4,7.8,237.0,15.4,Shallow,27.5,20.4,30.0,448.3,82.2,31.9,571.2,3.8,100.0,Rice,Yes,25.13
43,AHMADABAD,Viramgam,23.1224522,72.0483946,1,2018,Loam,6.37,3.06,1.67,195.0,15.0,143.1,30.3,Shallow,20.1,15.6,23.2,2.0,37.0,18.4,934.5,5.87,42.3,Wheat,Yes,26.75
44,VADODARA,Karajan,22.30309615105263,73.2793426991228,8,2020,Black Cotton,6.91,1.13,1.38,83.5,28.6,234.1,31.2,Medium,26.0,22.8,28.3,484.4,95.0,80.0,733.8,1.03,100.0,Castor,Yes,10.39
45,SURENDRANAGAR,Chuda,22.4815114,71.6881728,2,2019,Silty,6.89,0.22,0.13,462.9,52.4,424.2,26.7,Deep,14.7,7.0,17.6,11.0,40.3,29.5,588.3,4.12,14.1,Chickpea,Yes,13.81
46,ARAVALLI,Dhansura,23.3467,73.2054,2,2016,Black Cotton,7.53,2.15,0.43,394.8,24.3,672.8,29.8,Shallow,13.7,7.8,19.5,3.3,33.9,32.7,717.8,5.75,55.1,Wheat,Yes,21.4
47,AMRELI,Babra,21.8485451,71.3036656,3,2019,Silty,6.65,1.8,0.61,159.1,8.1,379.8,15.3,Medium,32.7,30.2,39.6,0.9,42.0,18.7,800.9,6.77,53.2,Bajra,Yes,13.26
48,BHAVNAGAR,Mahuva,21.0914409,71.7621979,8,2014,Loam,7.41,3.36,1.77,69.6,40.5,75.4,32.4,Medium,28.6,22.0,32.5,356.3,79.2,7.2,671.2,1.89,97.7,Castor,No,10.330314953589816
49,VALSAD,Dharampur,20.5360672,73.1740929,6,2016,Clay,7.36,0.61,0.69,484.8,43.4,304.8,27.6,Shallow,27.1,20.1,32.5,281.0,72.9,29.6,609.6,3.83,88.7,Jowar,Yes,13.61
50,MORBI,Halvad,23.0182418,71.1833818,3,2017,Loam,6.28,3.39,0.27,392.3,50.9,624.4,3.6,Medium,37.7,31.5,40.6,25.2,45.0,36.8,922.5,2.09,33.7,Jowar,Yes,11.3
51,BANASKANTHA,Danta,24.187557,72.7649516,5,2017,Sandy Loam,7.16,0.82,1.25,298.1,29.2,550.1,35.5,Deep,40.6,37.1,43.3,15.2,44.3,36.1,769.2,2.43,63.0,Bajra,No,13.292041640169476
52,DAHOD,Devgadbaria,22.87978639169436,74.10500860548173,2,2020,Loam,7.19,3.54,1.68,225.0,26.8,293.1,18.6,Shallow,11.4,4.7,16.6,10.7,33.8,80.0,1032.9,5.43,16.2,Wheat,Yes,26.64
53,DAHOD,Garbada,22.684669,74.3132146,12,2022,Black Cotton,7.19,0.49,0.59,171.5,7.6,322.9,36.1,Medium,23.6,18.1,28.8,1.0,44.5,16.1,251.0,3.75,42.3,Wheat,Yes,24.06
54,BANASKANTHA,Tharad,24.3897272,71.6292685,9,2022,Loam,6.75,1.91,1.18,491.1,19.0,60.6,35.9,Medium,30.0,27.2,35.8,189.8,56.0,17.2,765.8,5.2,87.5,Jowar,Yes,11.12
55,RAJKOT,Dhoraji,21.7220402,70.4443401,5,2014,Loam,6.04,0.84,0.17,468.7,33.3,692.9,25.4,Medium,36.0,30.1,38.2,1.0,35.6,33.1,664.6,4.0,33.8,Bajra,Yes,13.04
56,ARAVALLI,Dhansura,23.3467,73.2054,2,2018,Black Cotton,6.86,1.75,1.79,114.8,21.2,116.7,16.1,Medium,19.9,17.6,23.7,4.8,47.9,18.0,1195.8,3.35,69.7,Wheat,Yes,27.49
57,BANASKANTHA,Bhabhar,24.0650833,71.6155279,3,2014,Silty,7.32,1.78,0.31,140.9,40.5,285.4,42.8,Shallow,37.9,32.5,43.7,19.4,42.5,19.3,857.4,3.15,16.3,Bajra,Yes,13.78
58,JUNAGADH,Visavadar,21.3417058,70.7534299,4,2021,Black Cotton,6.52,3.67,0.94,87.6,51.9,343.8,40.6,Medium,37.9,31.6,43.2,33.9,44.4,15.3,518.0,2.62,57.9,Bajra,Yes,15.69
59,RAJKOT,VINCHHIYA,22.2102309,71.3796336,8,2017,Loam,6.65,2.31,0.89,492.0,12.1,624.8,4.8,Medium,29.9,27.5,36.0,645.7,95.0,27.8,354.6,2.17,100.0,Soybean,Yes,16.12
60,ANAND,Khambhat,22.3166806,72.6243126,2,2014,Black Cotton,7.37,0.7,0.65,363.4,24.0,661.6,40.5,Shallow,22.0,16.8,25.5,4.4,40.5,11.4,1142.3,2.75,48.7,Wheat,Yes,22.88
61,AHMADABAD,Dhandhuka,22.3816365,71.9791414,11,2014,Black Cotton,6.69,0.88,1.07,320.5,6.7,627.8,25.5,Deep,18.2,15.8,21.7,19.2,33.1,20.8,700.4,2.92,48.3,Chickpea,Yes,14.47
62,PATAN,Saraswati,23.875171,72.166746,9,2019,Silty,6.44,1.0,0.31,241.3,12.7,82.9,42.7,Deep,31.8,25.5,38.5,371.8,71.0,11.0,1010.3,2.47,100.0,Rice,Yes,18.9
63,JAMNAGAR,Jamnagar,22.4732415,70.0552102,1,2014,Silty,7.08,3.54,1.21,251.2,34.5,600.7,20.5,Medium,23.0,19.8,27.9,13.4,42.4,7.6,722.3,5.75,25.9,Urad (Black Gram),No,4.409684625542037
64,JAMNAGAR,Dhrol,22.5675674,70.4164394,9,2019,Silty,7.29,0.84,0.97,265.0,7.5,139.1,16.3,Medium,27.3,23.4,34.0,470.1,84.9,26.7,815.4,2.62,100.0,Sesame,No,3.639950939161319
65,MAHESANA,Jotana,23.4711736,72.2927648,10,2020,Silty,6.84,2.92,1.27,67.06395608819908,31.1,678.6,35.7,Deep,30.8,25.1,35.9,45.1,51.3,10.6,874.1,1.93,75.7,Bajra,Yes,13.2
66,VADODARA,Karajan,22.30309615105263,73.2793426991228,8,2023,Black Cotton,7.83,2.84,0.98,293.6,59.9,360.9,18.2,Shallow,28.7,22.6,35.0,490.4,95.0,80.0,464.8,4.34,100.0,Cotton,Yes,12.01
67,PANCHMAHALS,Halol,22.5025899,73.4691058,6,2021,Silty,6.62,3.74,1.45,158.5,11.7,489.8,18.3,Medium,33.3,27.0,36.7,552.1,92.1,21.2,217.6,1.64,100.0,Castor,Yes,9.09
68,BOTAD,Botad,22.1686,71.6685,1,2017,Black Cotton,8.4,0.94,0.5,77.1,23.2,357.1,31.3,Shallow,20.0,12.7,26.7,0.1,39.6,12.3,1165.7,3.61,47.0,Wheat,Yes,29.13
69,BHAVNAGAR,Bhavnagar,21.7718836,72.1416449,7,2016,Loam,7.27,0.19,1.52,400.3,15.2,536.9,39.5,Medium,26.2,22.5,33.1,568.0,95.0,24.4,435.2,3.85,100.0,Maize,Yes,28.45
70,PANCHMAHALS,Shehera,22.829248945454545,73.03712348181818,1,2016,Black Cotton,6.58,1.22,1.25,120.8,38.6,465.2,19.4,Medium,14.2,10.3,16.9,13.6,36.3,80.0,466.9,5.7,69.7,Wheat,No,20.772053216161687
71,MAHISAGAR,Virpur,23.1890874,73.480854,8,2015,Silty,6.01,2.76,1.67,447.3,47.3,498.7,29.5,Medium,26.8,18.9,31.1,328.3,70.3,30.3,953.0,4.15,100.0,Rice,Yes,39.85
72,AHMADABAD,Sanand,23.0238876,72.3851475,12,2022,Silty,6.3,2.28,0.2,287.4,32.8,422.3,8.4,Medium,17.5,10.1,21.9,15.9,40.5,7.4,367.4,4.0,44.8,Wheat,Yes,30.43
73,DEVBHUMI,DWARKA,22.2424747,68.9671448,10,2017,Loam,6.11,1.41,0.21,497.2,56.4,94.9,42.2,Shallow,25.0,17.2,30.6,24.5,39.9,36.4,663.9,6.47,34.4,Jowar,No,12.782448837223155
74,VADODARA,Karajan,22.30309615105263,73.2793426991228,7,2022,Black Cotton,6.81,3.92,1.52,385.4,58.8,351.0,32.9,Medium,32.1,24.5,35.5,492.4,93.7,80.0,772.8,1.64,100.0,Castor,Yes,13.08
75,BOTAD,Barwala,22.1518623,71.8957058,4,2014,Black Cotton,6.8,1.78,1.02,384.6,47.7,141.1,44.7,Shallow,37.9,34.0,43.3,19.9,38.0,10.4,867.2,3.01,28.5,Urad (Black Gram),Yes,9.64
76,RAJKOT,Upleta,21.7466811,70.2821426,1,2021,Silty,7.0,2.7,1.44,179.8,27.9,147.0,18.2,Deep,23.3,15.8,29.3,8.4,42.1,38.9,775.2,2.63,22.5,Jowar,Yes,12.49
77,RAJKOT,Paddhari,22.4297959,70.6057564,1,2017,Silty,6.71,2.44,0.17,64.2,49.3,431.9,30.9,Shallow,22.8,15.2,24.9,8.5,50.1,9.2,1195.3,4.35,22.5,Wheat,Yes,24.21
78,AHMADABAD,Sanand,23.0238876,72.3851475,11,2022,Silty,6.49,1.47,1.6,249.0,49.2,519.6,34.8,Medium,17.0,14.1,20.1,15.1,36.7,38.2,792.6,4.01,17.9,Wheat,Yes,29.31
79,NARMADA,Garudeshwar,21.8898443,73.6551011,8,2018,Black Cotton,7.55,1.99,0.39,403.6,14.3,518.2,23.0,Deep,31.6,24.7,34.0,562.4,87.2,6.0,99.4,2.34,100.0,Castor,Yes,12.32
80,BHARUCH,Jhagadia,21.7157199,73.1497026,11,2021,Silty,6.5,2.15,0.8,65.54799638834774,44.7,398.2,14.3,Deep,20.2,17.6,22.7,15.4,34.5,12.3,742.4,6.0,25.5,Wheat,Yes,28.07
81,KHEDA,Galteshwar,22.8686619,73.3084119,11,2015,Black Cotton,7.93,0.42,0.74,289.8,8.1,56.1,9.4,Medium,19.6,12.2,26.5,12.6,49.6,13.7,1099.9,5.4,44.4,Wheat,Yes,21.45
82,NARMADA,Nandod,21.8429212,73.4495407,6,2016,Loam,7.31,2.37,1.38,365.0,26.9,100.0,9.0,Shallow,31.7,25.3,35.6,395.6,85.4,29.8,126.7,3.75,100.0,Castor,Yes,11.4
83,PATAN,Chanasma,23.7150529,72.1150247,1,2019,Black Cotton,6.77,3.97,0.93,197.2,56.8,330.7,31.2,Deep,23.6,20.0,26.0,6.0,38.2,32.9,393.6,3.92,29.6,Jowar,Yes,16.49
84,GIR,SOMNATH,20.8957174,70.4080467,8,2020,Black Cotton,7.28,1.66,0.14,196.3,10.1,438.7,16.0,Medium,27.6,19.6,32.4,136.5,48.5,23.3,832.8,2.17,49.8,Cumin,No,3.583912188741785
85,BHARUCH,Jambusar,22.0514367,72.8069758,5,2019,Loam,6.87,2.01,1.15,245.2,12.5,54.4,19.0,Deep,40.3,34.4,46.4,9.3,42.8,16.1,818.4,5.43,38.0,Bajra,No,13.568723483334322
86,DAHOD,Devgadbaria,22.87978639169436,74.10500860548173,6,2017,Silty,6.4,3.15,0.72,468.1,16.0,698.2,9.7,Deep,31.7,24.7,37.7,193.5,50.7,80.0,908.5,4.39,52.7,Jowar,Yes,10.88
87,VADODARA,Vaghodia,22.3003935,73.3760638,8,2023,Black Cotton,6.78,2.05,1.66,355.1,34.9,564.0,17.5,Deep,33.1,30.1,38.4,304.6,72.7,25.4,710.5,3.71,100.0,Castor,Yes,11.31
88,BHARUCH,Jhagadia,21.7157199,73.1497026,10,2022,Black Cotton,7.34,1.81,0.76,393.0,37.4,375.3,16.8,Shallow,27.6,21.2,33.8,43.6,41.3,17.6,973.3,4.39,36.4,Bajra,No,13.858728680424038
89,BHARUCH,Anklesvar,21.76338667452416,73.00471180351391,6,2014,Black Cotton,7.27,3.21,1.68,378.0,33.4,408.7,16.2,Medium,27.8,23.2,33.0,819.2,95.0,80.0,50.0,0.86,100.0,Sugarcane,Yes,780.31
90,SURENDRANAGAR,Limbdi,22.5660006,71.7899425,3,2022,Silty,6.54,1.86,0.55,435.4,34.0,465.4,27.7,Deep,29.7,23.7,32.6,9.8,47.0,37.5,805.8,5.31,27.3,Bajra,Yes,12.26
91,JUNAGADH,Malia,21.11454,70.3736575,7,2023,Silty,6.09,2.56,1.28,333.3,60.0,410.7,23.1,Shallow,30.6,25.7,37.4,231.3,57.0,18.5,667.9,4.11,77.9,Jowar,Yes,12.742893653453104
92,RAJKOT,Jetpur,21.7543725,70.6189391,5,2017,Loam,6.38,2.17,0.39,244.9,45.8,547.8,25.6,Shallow,30.3,23.8,35.0,16.7,46.9,20.6,449.3,4.05,56.2,Bajra,Yes,13.46
93,BHAVNAGAR,Mahuva,21.0914409,71.7621979,8,2015,Loam,7.08,0.99,1.48,306.3,24.3,512.0,29.2,Shallow,30.4,25.2,35.3,487.0,90.6,11.2,936.5,1.02,100.0,Cotton,No,14.13666828588405
94,SABARKANTHA,Khedbrahma,24.0310837,73.0484016,1,2020,Sandy Loam,7.3,0.55,1.57,147.3,44.1,588.5,34.7,Deep,13.6,11.1,17.5,6.9,46.6,32.5,629.3,5.72,51.5,Wheat,Yes,25.38
95,ANAND,Umreth,22.6990518,73.115045,12,2015,Silty,7.16,2.8,1.55,404.0,26.9,679.3,37.5,Medium,23.4,18.5,28.2,4.1,37.3,29.5,293.9,2.48,56.8,Urad (Black Gram),Yes,7.69
96,PANCHMAHALS,KALOL,23.2212398,72.5187447,11,2016,Silty,6.01,3.73,0.57,337.7,18.8,291.7,40.9,Shallow,20.0,17.5,24.1,1.0,32.0,13.0,323.5,4.96,39.0,Wheat,Yes,29.74
97,KHEDA,Kheda,22.7516133,72.6857205,2,2021,Loam,6.73,2.94,0.27,177.3,53.5,139.1,35.3,Shallow,21.3,18.3,26.4,8.6,37.9,13.0,956.6,6.56,46.8,Wheat,Yes,31.87
98,AMRELI,Dhari,21.3280712,71.0262213,7,2019,Silty,6.79,1.03,1.2,146.6,38.1,518.8,14.3,Deep,32.7,29.6,37.7,146.8,52.5,27.8,921.2,5.24,49.9,Moong (Green Gram),Yes,9.33
99,ANAND,Sojitra,22.5391166,72.7192782,6,2019,Loam,6.74,3.36,0.82,286.8,14.5,356.2,44.5,Shallow,26.9,20.2,29.2,97.1,49.8,27.5,677.5,3.59,70.0,Sesame,No,3.278872637050948
100,TAPI,Dolvan,20.902135,73.3331335,3,2017,Black Cotton,6.55,2.37,1.4,335.4,40.4,251.6,20.8,Shallow,29.3,25.4,34.3,1.4,45.0,31.6,362.8,5.53,50.9,Jowar,Yes,13.22
101,BANASKANTHA,Lakhani,24.2310058240942,72.03957018269928,12,2016,Silty,7.38,0.52,1.63,187.5,28.6,390.5,13.3,Deep,20.3,17.3,26.6,15.7,34.7,80.0,1091.7,5.29,15.6,Wheat,Yes,28.74
102,TAPI,Dolvan,20.902135,73.3331335,3,2016,Loam,7.27,3.66,1.36,227.1,22.7,320.6,33.0,Medium,35.5,32.2,37.8,16.4,42.0,7.3,622.7,6.3,64.6,Bajra,Yes,11.93
103,BHAVNAGAR,Mahuva,21.0914409,71.7621979,12,2018,Black Cotton,7.44,1.5,1.75,499.0,47.7,526.1,25.5,Shallow,24.9,18.7,30.1,2.1,30.4,17.1,969.9,3.87,53.4,Jowar,Yes,14.8
104,MAHESANA,Mahesana,23.6015557,72.3867981,12,2016,Silty,6.04,3.69,1.63,274.3,43.5,292.1,43.9,Shallow,19.4,17.0,24.4,10.6,44.3,10.0,521.8,6.2,67.3,Wheat,Yes,29.19
105,RAJKOT,Jasdan,22.0399,71.2046,10,2016,Loam,6.0,0.7,0.89,221.1,34.5,677.0,10.9,Medium,29.9,23.7,33.4,32.2,45.3,12.8,1047.6,2.58,57.7,Bajra,Yes,12.384792407058812
106,AMRELI,Jafrabad,20.8665451,71.3648229,8,2020,Black Cotton,7.89,1.04,0.89,407.8,12.7,57.8,37.7,Shallow,31.2,25.7,36.4,168.9,52.1,33.7,186.3,1.48,97.4,Sesame,Yes,5.32
107,PATAN,Sidhpur,23.9657978,72.3367423,1,2021,Loam,7.06,1.76,1.33,263.2,26.1,327.3,17.2,Shallow,17.9,12.0,23.0,3.9,40.4,36.4,703.1,2.42,30.7,Wheat,No,20.5561605154983
108,PATAN,Sankheshwar,23.79879317530675,71.89748336549079,7,2014,Black Cotton,6.65,2.2,0.92,459.0,32.6,302.4,9.7,Medium,25.9,21.1,31.9,640.9,95.0,80.0,150.7,0.5,100.0,Soybean,Yes,11.54
109,KACHCHH,Abdasa,23.2576703,68.8854644,7,2023,Silty,7.29,3.97,0.4,141.2,22.5,529.8,17.4,Deep,30.4,27.3,35.2,154.0,65.2,36.1,640.6,2.78,67.7,Sugarcane,Yes,714.87
110,RAJKOT,Gondal,21.9575096,70.8009896,6,2016,Black Cotton,7.41,3.22,1.58,58.0,13.1,508.1,8.1,Shallow,32.3,27.9,39.0,688.5,95.0,15.7,50.0,0.5,100.0,Castor,Yes,12.8
111,DANGS,Ahwa,20.7587262,73.6873533,6,2023,Loam,7.17,3.27,0.74,375.0,21.2,165.5,2.1,Deep,26.7,21.1,28.9,668.7,95.0,39.6,125.5,1.49,100.0,Rajma (Kidney Bean),Yes,11.7
112,DANGS,Ahwa,20.7587262,73.6873533,12,2015,Black Cotton,7.55,3.55,0.86,154.6,18.7,94.1,13.0,Shallow,12.9,8.4,15.7,11.2,48.8,18.0,601.0,6.08,58.5,Wheat,Yes,23.24
